Plot	Rep	treatment_mg_ha	depth	cylinder	GWCs	VWCs	GWC1kpa	VWC1kpa	GWC2kpa	VWC2kpa	GWC3kpa	VWC3kpa	GWC4kpa	VWC4kpa	GWC5kpa	VWC5kpa	GWC6kpa	VWC6kpa	GWC10kpa	VWC10kpa	GWC30kpa	VWC30kpa	GWC100kpa	VWC100kpa	GWC300kpa	VWC300kpa	GWC500kpa	VWC500kpa	GWC1500kpa	VWC1500kpa	FC	AWC	POC	MOC	DOC	TOC	bulk_density	TC_carb_corr	Cstock	pH	EC
1	1	15	a	19	0.256	0.387	0.246681303	0.372939681	0.242183803	0.366140235	0.240207951	0.363153086	0.237605911	0.35921925	0.232890469	0.352090313	0.233143151	0.352472324	0.226878748	0.343001626	0.220594039	0.333500226	0.213127086	0.322211479	0.209791106	0.317168052	0.206569408	0.312297398	0.139461173	0.224234074	0.333500226	0.109266152	0.7259	1.193895361	0.05796	1.9778	1.6460	2.376	39.118	7.21	378
1	1	15	b	21	0.236	0.374	0.227454253	0.359558272	0.223752157	0.353706022	0.221058201	0.349447433	0.218885995	0.346013624	0.216946693	0.342947986	0.216132628	0.341661119	0.211255346	0.333951141	0.203147345	0.321134063	0.19279026	0.304761647	0.190822142	0.301650458	0.180852805	0.285890992	0.141381185	0.223494501	0.321134063	0.097639562	0.2620	0.995136515	0.053984	1.3112	1.5496	1.345	20.846	7.4	183
2	1	10	a	20	0.251	0.403	0.238825554	0.383998112	0.233238265	0.375014532	0.228752653	0.367802294	0.225257583	0.362182711	0.221112879	0.355518606	0.22122691	0.355701953	0.216733269	0.348476805	0.211899557	0.340704872	0.200203362	0.321899025	0.192569163	0.309624299	0.18941399	0.304551222	0.140103432	0.21181228	0.340704872	0.128892592	0.6769	1.225404194	0.062384	1.9647	1.6021	1.792	28.712	7.55	591
2	1	10	b	24	0.261	0.396	0.25488568	0.387589032	0.253162086	0.384968067	0.249453919	0.379329285	0.24754338	0.376424046	0.245161777	0.372802488	0.244101237	0.37118979	0.241157094	0.366712812	0.229637293	0.349195357	0.21764278	0.330956036	0.210040589	0.31939585	0.200934965	0.305549487	0.13377193	0.186828548	0.349195357	0.162366808	0.3353	0.948292694	0.053248	1.3368	1.5379	1.274	19.595	7.47	255
3	1	0	a	28	0.273	0.408	0.265667592	0.397360213	0.261666683	0.391376037	0.25369872	0.379458318	0.249664595	0.373424459	0.242695342	0.363000516	0.242891147	0.363293382	0.237412247	0.355098567	0.229954314	0.343943703	0.213130591	0.318780385	0.203662209	0.304618484	0.202662948	0.303123884	0.151381215	0.228399445	0.343943703	0.115544258	0.6142	1.204072566	0.053144	1.8715	1.5604	1.880	29.343	7.72	303
3	1	0	b	22	0.250	0.390	0.243208752	0.378762266	0.239647508	0.373216145	0.235145156	0.366204387	0.232448217	0.362004297	0.227510585	0.354314653	0.227653123	0.354536635	0.221735285	0.345320464	0.215474618	0.335570385	0.208221448	0.324274627	0.205047269	0.319331305	0.200963121	0.312970838	0.137401025	0.213982116	0.335570385	0.121588269	0.3327	1.205642645	0.052912	1.5912	1.4910	1.747	26.045	6.99	239
4	1	5	a	30	0.296	0.422	0.282574515	0.402698894	0.280478161	0.399711365	0.276204065	0.393620321	0.274836176	0.391670933	0.273482776	0.389742193	0.272682221	0.388601317	0.2722919	0.388045068	0.26491787	0.377536287	0.260608709	0.371395272	0.258357027	0.368186385	0.258357027	0.368186385	0.177428411	0.260392589	0.377536287	0.117143698	0.5422	1.307627943	0.04776	1.8976	1.4381	1.960	28.193	6.31	404
4	1	5	b	12	0.272	0.404	0.264576982	0.393215705	0.258697386	0.384477417	0.254104047	0.377650773	0.252821765	0.375745039	0.251886697	0.374355336	0.250855696	0.372823056	0.249162079	0.370305994	0.243470531	0.361847186	0.238071792	0.353823551	0.235880118	0.350566275	0.232812479	0.346007133	0.114434948	0.166398417	0.361847186	0.195448769	0.3332	1.198816912	0.050848	1.5829	1.4993	1.751	26.251	6.77	244
5	1	20	a	4	0.276	0.424	0.267440153	0.411285315	0.262778433	0.404116247	0.260418854	0.400487545	0.258781826	0.397970028	0.255124187	0.392345093	0.255205778	0.392470569	0.250436568	0.385136195	0.24557499	0.377659772	0.238267158	0.366421356	0.234774672	0.361050404	0.231970313	0.356737695	0.136103896	0.209308637	0.377659772	0.168351135	0.5099	1.241098646	0.061872	1.8129	1.5114	1.922	29.041	7.23	362
5	1	20	b	29	0.261	0.383	0.245935822	0.360933545	0.242102703	0.355308089	0.240567178	0.353054563	0.239424193	0.351377127	0.235599186	0.345763577	0.235765152	0.346007146	0.232663012	0.34145447	0.229248742	0.336443712	0.217514103	0.319222045	0.212857412	0.312387922	0.208862127	0.306524472	0.164039696	0.233774105	0.336443712	0.102669608	0.3001	1.04210007	0.059816	1.4020	1.5522	1.308	20.306	7.19	220
